,all_日均收益率R,top_日均收益率R,bottom_日均收益率R,all_日均波动率Vol,top_日均波动率Vol,bottom_日均波动率Vol,all_年化收益率ER,top_年化收益率ER,bottom_年化收益率ER,all_年化波动率VOL,top_年化波动率VOL,bottom_年化波动率VOL,all_信息比率IR,top_信息比率IR,bottom_信息比率IR,all_夏普比率SR,top_夏普比率SR,bottom_夏普比率SR,all_下行偏差DD,top_下行偏差DD,bottom_下行偏差DD,all_胜率VE,top_胜率VE,bottom_胜率VE,all_盈亏比PnL,top_盈亏比PnL,bottom_盈亏比PnL,all_最大回撤MDD,top_最大回撤MDD,bottom_最大回撤MDD,all_卡玛比率Calmar,top_卡玛比率Calmar,bottom_卡玛比率Calmar,all_索提诺比率Sortino,top_索提诺比率Sortino,bottom_索提诺比率Sortino,all_换手率Tov,top_换手率Tov,bottom_换手率Tov
SP_60天信号_ener_ratio_chunks_分块局部熵比率,0.000385269,-6.07E-05,0.000441493,0.004694773,0.003833559,0.002751076,0.097087837,-0.015284166,0.111256318,0.074527214,0.060855866,0.043671976,0.08206343,-0.015821186,0.160480242,1.302716565,-0.25115354,2.547544864,0.006742287,0.004667829,0.003843536,0.466148556,0.460431437,0.469364538,1.245792384,1.222023083,1.315725438,0.133177681,0.146938029,0.037535418,0.729009815,-0.10401777,2.964035664,14.3998367,-3.274363201,28.94634545,1.276328074,0.761497114,0.519985599
SP_60天信号_fft_agg_绝对傅里叶变换的谱统计量,0.000715063,0.000178641,0.000398087,0.004381246,0.0028221,0.003169726,0.180195896,0.045017552,0.100317972,0.069550117,0.044799446,0.050317845,0.163209997,0.063300766,0.1255904,2.590878387,1.004868513,1.993685787,0.007047116,0.004525796,0.005223531,0.468096562,0.464732648,0.467326476,1.302803508,1.254573934,1.313698536,0.093892005,0.083791538,0.050090362,1.919182534,0.537256546,2.002740016,25.57016191,9.946880417,19.20501285,0.599797507,0.300469268,0.304482878
SP_60天信号_fft_coeff_傅里叶变换系数,0.000849317,0.000562866,0.000199931,0.005294836,0.00505987,0.002445873,0.214027875,0.141842324,0.050382573,0.084052921,0.080322953,0.038827031,0.160404763,0.111241261,0.081742119,2.546346671,1.765900269,1.297615907,0.006628049,0.007041925,0.003638299,0.468628295,0.461146426,0.46987707,1.333742594,1.392326685,1.244119342,0.107654177,0.092799309,0.033782305,1.988105623,1.5284847,1.491389411,32.29123297,20.14254996,13.84783811,0.592958769,0.308272711,0.289840697
SP_60天信号_fourier_entropy_频谱图序列的箱熵,0.000758386,0.000301013,0.000402538,0.004638291,0.002538873,0.003302514,0.191113211,0.075855193,0.101439583,0.073630592,0.040303358,0.052425781,0.163505418,0.118561537,0.121888373,2.595568049,1.882106054,1.93491794,0.007369508,0.003766726,0.004721324,0.466141223,0.463769194,0.468732616,1.316123619,1.309668993,1.324523255,0.084460866,0.03123116,0.072191388,2.262742742,2.428830447,1.405147978,25.93296857,20.13822983,21.48541027,0.842677036,0.436102233,0.411729442
SP_60天信号_friedrich_coeff_Langevin模型拟合的多项式系数,0.000607854,0.00027426,0.000225712,0.004170781,0.002669373,0.002792455,0.153179191,0.069113635,0.056879355,0.066209089,0.042374987,0.044328852,0.145741047,0.102743389,0.08082913,2.313567403,1.631000739,1.283122657,0.006233302,0.004285309,0.003572403,0.468859205,0.467149015,0.465092853,1.28619131,1.289571417,1.281309373,0.107843311,0.073598832,0.058940005,1.420386566,0.939058862,0.965038178,24.57432364,16.12804119,15.92187537,0.713010684,0.364030341,0.354134982
SP_60天信号_lemp_ziv_complex_Lempel-Ziv复杂度,0.000586326,0.0001489,0.000390797,0.004509476,0.002968983,0.003184533,0.147754188,0.037522815,0.098480791,0.07158571,0.047131148,0.050552888,0.130020908,0.050151869,0.122717159,2.064017924,0.796136235,1.948074501,0.007166233,0.004701984,0.004877804,0.467734369,0.469408868,0.462275274,1.281079539,1.220169632,1.379596477,0.113543083,0.081136307,0.047065462,1.301305058,0.462466386,2.092421657,20.61811167,7.980208923,20.1895741,0.742106391,0.379770511,0.367490519
SP_60天信号_num_cwt_peaks_搜索x中的不同峰值,0.000465056,0.000182651,0.000242368,0.004690244,0.003216903,0.002979063,0.117193993,0.046028025,0.061076649,0.074455322,0.05106675,0.047291163,0.099153794,0.056778491,0.081357002,1.574017678,0.901330599,1.291502369,0.007105485,0.004259896,0.004225724,0.466541219,0.464402257,0.465912625,1.259220447,1.277929517,1.26519262,0.10515597,0.062973074,0.075091749,1.114477792,0.730915959,0.813360318,16.4934539,10.80496432,14.45353317,0.889922311,0.458695403,0.436381547
SP_60天信号_partial_autocorr_给定滞后结束的偏相关函数的值,0.00074845,0.000461964,0.000199039,0.003988713,0.003074327,0.002624021,0.188609384,0.116414902,0.050157851,0.06331885,0.048803431,0.041655037,0.187641979,0.150265039,0.075852715,2.978724076,2.385383549,1.204124521,0.005601685,0.005095222,0.004503447,0.469152445,0.464376013,0.467723157,1.307504926,1.35128183,1.240593526,0.082248785,0.046487861,0.079444548,2.293157088,2.504199997,0.631356745,33.67011444,22.84785562,11.1376586,0.538964553,0.273971897,0.270147295
SP_60天信号_permu_entropy_排列熵,0.000877144,0.00034601,0.000471871,0.005241459,0.002660012,0.00437661,0.221040208,0.087194457,0.118911521,0.083205587,0.042226375,0.069476525,0.167347226,0.130078286,0.107816586,2.656554861,2.064928775,1.71153525,0.007050792,0.004152121,0.006502142,0.466653825,0.469133821,0.461883382,1.335917832,1.281042446,1.420015442,0.085510469,0.049346862,0.040449781,2.584949063,1.766970637,2.939732171,31.34969856,20.9999796,18.2880527,0.660171133,0.288035753,0.377290019
SP_60天信号_spkt_welch_dens_不同频率的功率谱,0.000837768,0.000441124,0.000285501,0.006217149,0.006103228,0.00227187,0.211117497,0.111163211,0.071946252,0.098694177,0.096885741,0.03606482,0.134751134,0.072277138,0.125667837,2.139107938,1.147363998,1.994915061,0.00674368,0.007154416,0.003371704,0.467407282,0.463660831,0.467402897,1.346229212,1.379206446,1.279739669,0.128098815,0.114328677,0.044879067,1.648083144,0.972312587,1.603113816,31.30597726,15.53770623,21.33824409,0.498338647,0.299581882,0.203911404
SP_60天信号_ti_rev_asym_stat_时间反转不对称统计量 (time reversal asymmetry statistic.),0.00053822,0.000636925,-0.000124055,0.006803072,0.005251831,0.004625799,0.135631422,0.160504975,-0.031261847,0.107995413,0.083370234,0.073432276,0.079114253,0.121276654,-0.026818061,1.255899839,1.925207201,-0.425723523,0.012110462,0.005630178,0.009509493,0.468968405,0.466887224,0.466930487,1.314527299,1.407423764,1.239389249,0.155469426,0.072906723,0.124264449,0.87239932,2.201511302,-0.251575149,11.19952514,28.50797703,-3.287435623,0.503547134,0.266676744,0.242025029
SP_126天信号_abs_energy_时间序列的绝对能量,0.000513479,0.000359917,0.000235457,0.003508371,0.00568766,0.002558466,0.129396584,0.090699125,0.059335224,0.05569366,0.090288801,0.040614393,0.146358106,0.06328036,0.092030621,2.323362899,1.004544571,1.460940814,0.004419253,0.007715881,0.00447184,0.468183952,0.461935393,0.469176644,1.409675365,1.324996858,1.300911378,0.075163716,0.122924474,0.033632238,1.721529886,0.737844319,1.764236554,29.28019295,11.75486266,13.26863816,0.293858008,0.165756015,0.133256632
SP_126天信号_abs_max_最高绝对值,0.000500844,0.00036953,0.000155905,0.002931806,0.004525809,0.002934677,0.126212652,0.093121523,0.039288183,0.046540971,0.07184499,0.046586549,0.170831196,0.081649459,0.053125268,2.711861162,1.296144984,0.843337486,0.003095767,0.007380061,0.005011927,0.467181016,0.460923037,0.471893117,1.37972887,1.352168981,1.273452763,0.042294321,0.050850075,0.0465775,2.98415126,1.831295686,0.843501329,40.76942661,12.61798861,7.838938135,0.294750869,0.163194127,0.136711381
SP_126天信号_abs_sum_changes_一阶差分绝对和,0.000381228,0.000313318,0.000257464,0.003138338,0.005131636,0.002954075,0.096069392,0.078956185,0.064880951,0.049819567,0.081462194,0.046894494,0.121474416,0.061056201,0.087155557,1.928346572,0.969237142,1.383551572,0.00438106,0.006418301,0.005128117,0.465215605,0.460679334,0.470756392,1.382102414,1.308651009,1.334639568,0.067265262,0.127820974,0.036234919,1.428217008,0.617709143,1.790564261,21.92834413,12.30172718,12.65200232,0.294431253,0.163006062,0.136579831
SP_126天信号_count_above_mean_高于均值个数占比,0.000377476,0.0002426,0.000282769,0.003861706,0.002983762,0.00314695,0.095123977,0.061135308,0.071257675,0.061302685,0.047365756,0.049956281,0.097748529,0.081306892,0.089854799,1.551709792,1.290706895,1.426400721,0.005922943,0.004380478,0.003876136,0.464575993,0.476677672,0.455903631,1.27937463,1.23452087,1.345299816,0.09909319,0.059796028,0.063512152,0.959944651,1.022397476,1.121953398,16.06025591,13.95631128,18.38368678,0.50590521,0.246955416,0.264104434
SP_126天信号_count_below_mean_低于均值个数占比,0.000377476,0.000282769,0.0002426,0.003861706,0.00314695,0.002983762,0.095123977,0.071257675,0.061135308,0.061302685,0.049956281,0.047365756,0.097748529,0.089854799,0.081306892,1.551709792,1.426400721,1.290706895,0.005922943,0.003876136,0.004380478,0.464575993,0.455903631,0.476677672,1.27937463,1.345299816,1.23452087,0.09909319,0.063512152,0.059796028,0.959944651,1.121953398,1.022397476,16.06025591,18.38368678,13.95631128,0.50590521,0.264104434,0.246955416
SP_126天信号_first_loc_of_max_最大值位置,0.000821697,0.000574527,0.000216818,0.004178713,0.00296171,0.002962595,0.207067592,0.144780806,0.054638198,0.066335015,0.047015688,0.04702973,0.196638716,0.193984901,0.073185259,3.121542843,3.079414843,1.161779963,0.005868547,0.004413052,0.004435703,0.467812091,0.470645025,0.461732246,1.316701227,1.364855919,1.282862606,0.093869458,0.041301882,0.065775295,2.205910179,3.505428767,0.830679636,35.28430251,32.80740825,12.31782067,0.455076606,0.229307207,0.230924038
SP_126天信号_first_loc_of_min_最小值位置,0.000690483,0.000430168,0.000231025,0.004435288,0.003536564,0.00298995,0.174001807,0.108402361,0.058218392,0.070408007,0.056141213,0.047463991,0.155679503,0.121634473,0.07726729,2.471335487,1.930887394,1.22658021,0.007470204,0.005440091,0.004129621,0.468786053,0.470926364,0.461210091,1.294349287,1.334048516,1.29597075,0.103291675,0.077889278,0.0577704,1.684567587,1.391749474,1.007754696,23.29277965,19.92657016,14.09775548,0.45543038,0.232321088,0.228263932
