,all_日均收益率R,top_日均收益率R,bottom_日均收益率R,all_日均波动率Vol,top_日均波动率Vol,bottom_日均波动率Vol,all_年化收益率ER,top_年化收益率ER,bottom_年化收益率ER,all_年化波动率VOL,top_年化波动率VOL,bottom_年化波动率VOL,all_信息比率IR,top_信息比率IR,bottom_信息比率IR,all_夏普比率SR,top_夏普比率SR,bottom_夏普比率SR,all_下行偏差DD,top_下行偏差DD,bottom_下行偏差DD,all_胜率VE,top_胜率VE,bottom_胜率VE,all_盈亏比PnL,top_盈亏比PnL,bottom_盈亏比PnL,all_最大回撤MDD,top_最大回撤MDD,bottom_最大回撤MDD,all_卡玛比率Calmar,top_卡玛比率Calmar,bottom_卡玛比率Calmar,all_索提诺比率Sortino,top_索提诺比率Sortino,bottom_索提诺比率Sortino,all_换手率Tov,top_换手率Tov,bottom_换手率Tov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day126change_quant.2-.8std,0.000426484,4.62E-05,0.000415034,0.003898495,0.003894557,0.00297393,0.107474061,0.011638276,0.10458858,0.061886687,0.061824182,0.047209671,0.109397188,0.011858507,0.139557449,1.736626524,0.188247962,2.215405829,0.006974189,0.007240392,0.004921024,0.457707217,0.455754897,0.459315668,1.289839533,1.223111942,1.383208161,0.044769977,0.078000749,0.041392458,2.400583331,0.149207237,2.526754513,15.4102586,1.607409729,21.2534177,0.156163536,0.093373643,0.067944533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day252change_quant.2-.8std,0.000408527,0.00026724,0.000431956,0.002691964,0.003596646,0.002980008,0.102948821,0.067344536,0.108852958,0.042733611,0.057094979,0.047306157,0.151757973,0.074302628,0.144951361,2.409083139,1.179517652,2.301031514,0.004282431,0.006366237,0.004558434,0.456538858,0.458177083,0.458452156,1.325845458,1.260869858,1.389969404,0.039069758,0.050905977,0.033632706,2.635000258,1.322920008,3.236520932,24.03980959,10.57838944,23.87946342,0.096533278,0.059222178,0.042465739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day22cid_ceunnormalized,0.000297418,-0.000150301,0.000466582,0.005982321,0.00468262,0.003158834,0.074949264,-0.037875753,0.117578788,0.094966407,0.074334292,0.050144935,0.049716105,-0.032097544,0.147707191,0.789218698,-0.509532711,2.34477897,0.010627791,0.008699532,0.004679409,0.457115861,0.44957942,0.463174151,1.259851779,1.230422818,1.4004846,0.086529735,0.152786636,0.035708725,0.866167729,-0.24789965,3.292718717,7.052196042,-4.353769133,25.12684446,0.35358348,0.203936498,0.154801621Day22cid_ce_unnorm,0.000297418,-0.000150301,0.000466582,0.005982321,0.00468262,0.003158834,0.074949264,-0.037875753,0.117578788,0.094966407,0.074334292,0.050144935,0.049716105,-0.032097544,0.147707191,0.789218698,-0.509532711,2.34477897,0.010627791,0.008699532,0.004679409,0.457115861,0.44957942,0.463174151,1.259851779,1.230422818,1.4004846,0.086529735,0.152786636,0.035708725,0.866167729,-0.24789965,3.292718717,7.052196042,-4.353769133,25.12684446,0.35358348,0.203936498,0.154801621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day60cid_ce_unnorm,0.000430019,-6.80E-07,0.000427802,0.005118423,0.004134166,0.003145368,0.108364667,-0.000171252,0.10780613,0.081252443,0.065627857,0.049931167,0.084013873,-0.00016438,0.136010196,1.333678888,-0.002609446,2.159094923,0.009355761,0.00764055,0.005390039,0.457585695,0.453841282,0.460920325,1.277560866,1.232559258,1.395974005,0.071669527,0.094844699,0.043012468,1.512004777,-0.001805608,2.506392592,11.58266747,-0.022413618,20.00099099,0.169371571,0.097161187,0.077365024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day126cid_ce_unnorm,0.000445658,1.27E-05,0.000424584,0.004237535,0.00396375,0.003030455,0.112305707,0.003200011,0.106995236,0.067268784,0.062922573,0.048106974,0.105169057,0.003203648,0.140105806,1.669507018,0.050856334,2.224110721,0.007498693,0.007093714,0.00492072,0.457659683,0.454045849,0.460890085,1.294632156,1.230378628,1.388741758,0.052204213,0.08631899,0.038962862,2.1512767,0.037071928,2.746082598,14.97670371,0.451105185,21.74381605,0.101086818,0.058922902,0.047318556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day252cid_ce_unnorm,0.000474756,0.000313893,0.000419637,0.002879648,0.00351824,0.002968999,0.119638551,0.079101114,0.105748431,0.045713002,0.055850328,0.047131403,0.16486601,0.089218845,0.141339417,2.617166768,1.416305264,2.243693683,0.00504143,0.006488043,0.004505709,0.457286081,0.455945224,0.46058802,1.347768833,1.289316884,1.386996368,0.044212067,0.046381981,0.036265796,2.706015772,1.705427677,2.915927457,23.73107418,12.19182936,23.46987605,0.063646321,0.038469136,0.030331824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day22cid_ce_norm,0.000709827,0.000314208,0.000384457,0.005754663,0.003132544,0.003041071,0.17887636,0.079180457,0.096883262,0.091352438,0.049727587,0.048275512,0.123348121,0.100304484,0.12642169,1.958090717,1.592284321,2.006882114,0.010710445,0.00466642,0.006400365,0.457713981,0.456325881,0.459297774,1.311657545,1.32088008,1.306638367,0.071043182,0.038618606,0.034546526,2.517853988,2.050318863,2.804428501,16.70111314,16.96813775,15.13714535,0.747837042,0.351678421,0.401313261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day60cid_ce_norm,0.000797584,0.000406883,0.000377958,0.005516711,0.00313964,0.002865194,0.200991233,0.102534424,0.095245294,0.087575074,0.049840237,0.045483549,0.144576042,0.129595321,0.1319134,2.295073517,2.057261944,2.094060308,0.010286687,0.005053601,0.005827447,0.45782075,0.458105582,0.457350803,1.326008913,1.348860811,1.314139206,0.066541635,0.035270159,0.034533205,3.020533446,2.907115425,2.758078579,19.53896656,20.28937877,16.34425621,0.413004301,0.20018374,0.217975201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day126cid_ce_norm,0.000854274,0.000321321,0.000510777,0.005364789,0.002998568,0.002894948,0.215277037,0.080972945,0.128715703,0.085163391,0.047600791,0.04595588,0.159237184,0.107158221,0.176437208,2.527811925,1.701084019,2.800853839,0.009598554,0.004865822,0.004916767,0.457681305,0.455866026,0.45997792,1.33723214,1.333135779,1.33132869,0.057589166,0.031734064,0.027570574,3.738151685,2.551609702,4.668589928,22.42807047,16.64116473,26.17892897,0.258944132,0.129819342,0.134279429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day252cid_ce_norm,0.000776864,0.000360634,0.000506269,0.004454379,0.002791781,0.003004895,0.19576973,0.090879766,0.127579846,0.070711077,0.044318156,0.047701227,0.174404552,0.129177015,0.168481511,2.768586437,2.050621541,2.674561074,0.007854841,0.004948583,0.005149982,0.457786674,0.456266668,0.460826262,1.342388922,1.34388049,1.326096608,0.037653683,0.031213264,0.024695935,5.19921859,2.911575233,5.166026189,24.92344752,18.36480436,24.77287131,0.165005038,0.086027766,0.084131911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day60ener_ratio_chunks_10_5,0.000692054,0.000303654,0.000387997,0.005348578,0.002969578,0.00293657,0.17439764,0.0765208,0.097775155,0.084906044,0.047140582,0.0466166,0.129390302,0.102254939,0.132125804,2.054007365,1.623246832,2.09743212,0.00939817,0.004834263,0.004771895,0.457761638,0.45734106,0.458012344,1.309168329,1.300352947,1.324143776,0.053052697,0.030139435,0.027776792,3.287253052,2.538893004,3.520030499,18.55655234,15.82884397,20.48979741,1.16023681,0.728043593,0.437347857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day126ener_ratio_chunks_10_5,0.000734582,0.000405666,0.000326261,0.005541922,0.003165647,0.003024083,0.185114633,0.102227794,0.082217761,0.087975284,0.050253085,0.048005824,0.132550021,0.128146277,0.107887579,2.104166352,2.034259085,1.712662216,0.009945425,0.004453598,0.005912161,0.457786987,0.460719562,0.456055471,1.321563179,1.329263573,1.316520748,0.059006353,0.032140411,0.041246159,3.137198363,3.18066232,1.993343431,18.61304435,22.95397945,13.90655045,0.661051575,0.402946054,0.263260161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day252ener_ratio_chunks_10_5,0.000958472,0.000543965,0.000416539,0.00545024,0.003628157,0.002537631,0.241534823,0.137079149,0.104967912,0.086519871,0.057595199,0.04028365,0.175858603,0.149928724,0.164144931,2.791668771,2.380044704,2.605719991,0.01014102,0.00605134,0.00399981,0.458372346,0.460267987,0.457405358,1.35349602,1.390206477,1.330368625,0.053908928,0.044727855,0.025457274,4.480423413,3.06473784,4.123297394,23.81760668,22.6526937,26.2432225,0.400289484,0.239120856,0.166323267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day60ener_ratio_chunks_10_9,0.000539201,0.000123109,0.000413076,0.005930619,0.00414255,0.002992557,0.135878633,0.03102344,0.104095209,0.094145665,0.065760942,0.047505364,0.090918146,0.029718142,0.138034554,1.443280826,0.471760874,2.191230614,0.011439698,0.007125824,0.004224642,0.457834301,0.453634711,0.459759126,1.286184065,1.273804193,1.340837186,0.074570919,0.075085074,0.028648733,1.822139706,0.413177186,3.633501252,11.87781656,4.353663207,24.64000937,1.014557772,0.646849205,0.372863207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day126ener_ratio_chunks_10_9,0.000550519,0.000144799,0.000405364,0.005335268,0.003493238,0.003178069,0.138730784,0.036489341,0.102151839,0.084694748,0.055453435,0.050450287,0.103184887,0.041451218,0.127550533,1.638009297,0.65801768,2.024801947,0.010069222,0.005643911,0.004363079,0.457805145,0.453569575,0.459869485,1.283073737,1.267950218,1.35178968,0.05779937,0.067543264,0.031878802,2.400212743,0.54023656,3.204381371,13.77770633,6.465258172,23.41278955,0.599937691,0.374488763,0.230603567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day252ener_ratio_chunks_10_9,0.000656115,0.00014564,0.000504863,0.004827423,0.003065519,0.00320236,0.165340914,0.036701158,0.127225388,0.076632959,0.048663613,0.050835884,0.135914086,0.047508919,0.157653324,2.157569226,0.754180715,2.502668937,0.008741308,0.004819099,0.004370005,0.458476659,0.453242736,0.460847127,1.295383947,1.265981952,1.394412612,0.044113038,0.040416942,0.032649589,3.748118989,0.908063719,3.896691848,18.91489344,7.615772602,29.11332733,0.347387604,0.209429202,0.143113041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day60fft_coeff_2_abs,0.000669008,0.000224694,0.000428196,0.005349979,0.003087855,0.003089358,0.168590016,0.056622798,0.107905455,0.084928287,0.049018182,0.049042034,0.12504871,0.072766897,0.138603648,1.985086726,1.155138676,2.200264699,0.010300381,0.005715275,0.005334037,0.457892148,0.456035442,0.458890028,1.299269436,1.265394594,1.366586433,0.07175712,0.061720952,0.039586394,2.349453491,0.917399941,2.725821785,16.36735775,9.907274154,20.22960401,0.416976131,0.214318436,0.207812334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day126fft_coeff_2_abs,0.000647087,0.000231605,0.000387986,0.005242804,0.003224147,0.002944719,0.163065934,0.05836441,0.097772596,0.083226929,0.051181744,0.046745963,0.123423853,0.071834447,0.131756716,1.959292924,1.140336495,2.09157302,0.009662654,0.005522421,0.004711993,0.458180668,0.457251665,0.458145939,1.294809403,1.257558639,1.349685054,0.055667176,0.04200645,0.037981811,2.929301355,1.389415424,2.574195193,16.87589527,10.56862804,20.74973167,0.295150066,0.147403702,0.152901003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day252fft_coeff_2_abs,0.000776977,0.00032326,0.000468984,0.004681575,0.002976455,0.002755226,0.195798134,0.08146151,0.118184032,0.074317705,0.047249762,0.04373785,0.1659648,0.108605687,0.170216281,2.634609528,1.724061827,2.702099685,0.007975481,0.004665263,0.00422319,0.458606358,0.457140201,0.45916549,1.322263131,1.285934975,1.370213063,0.046100052,0.034537433,0.031122643,4.24724323,2.358644014,3.797364876,24.55001077,17.46129065,27.98454084,0.216173319,0.106154119,0.115173839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day60fft_coeff_3_abs,0.000599729,0.000186269,0.000391246,0.005465693,0.003463402,0.002877633,0.151131687,0.046939701,0.098594087,0.086765184,0.0549798,0.045681,0.109726055,0.053781993,0.135961204,1.741847129,0.853762677,2.158317198,0.010341705,0.006091746,0.004778284,0.45773711,0.4562766,0.458709776,1.293721931,1.262912138,1.351444349,0.062231135,0.069226485,0.037495071,2.428554257,0.678059867,2.6295213,14.61380812,7.705458956,20.6337871,0.425401689,0.218755239,0.211801089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day126fft_coeff_3_abs,0.000698546,0.000283804,0.000396062,0.005263161,0.003299264,0.002781879,0.176033704,0.071518491,0.099807598,0.08355009,0.052374188,0.044160963,0.132723747,0.086020264,0.142372068,2.106924164,1.365529352,2.260086515,0.009686845,0.005498578,0.00452803,0.457762628,0.457092488,0.458305194,1.307923464,1.275337463,1.350114521,0.064422958,0.05866753,0.034819216,2.732468512,1.219047249,2.866451636,18.17245051,13.0067253,22.04216997,0.300389601,0.151209616,0.154334624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day252fft_coeff_3_abs,0.000766637,0.000347105,0.000415986,0.004532448,0.002707175,0.002744516,0.193192484,0.087470567,0.104828394,0.071950379,0.042975078,0.043567845,0.169144107,0.12821682,0.151569768,2.685079464,2.035378912,2.406095481,0.007474981,0.003785988,0.004824407,0.459005262,0.456363296,0.459766771,1.317141205,1.291737767,1.349147982,0.043082926,0.025894961,0.031956773,4.484200656,3.377899112,3.280318555,25.84521538,23.10376184,21.72876293,0.214479236,0.105968022,0.113665853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day60fft_coeff_5_abs,0.000660929,0.000280776,0.000373169,0.005383112,0.003273978,0.002890888,0.166554056,0.070755471,0.094038704,0.085454262,0.051972787,0.045891422,0.122778188,0.085759799,0.129084724,1.949043305,1.361394598,2.04915646,0.010209299,0.006514781,0.004550706,0.457766922,0.457243725,0.458159968,1.301121459,1.276583802,1.343285274,0.075912159,0.067006021,0.04117942,2.194036611,1.055956915,2.283633519,16.31395662,10.86075959,20.66464004,0.437173645,0.223960095,0.218368189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
